q00000001_00: Resolutions and Omens                                                    | 覚悟と兆し
q20015005_00: Dispatch a Clamor of Harpies!                                            | ハーピーの群を討て！
q20015006_00: Urgent Inspection: Breya Coast Treasure Expedition                       | 【緊急探索】財宝調査隊　ブリア海岸
q20020000_00: The Fort's Supply Problems                                               | 砦の物資事情
q20020001_00: The Missing Report                                                       | 足りない報告書
q20020002_00: Unexpected Training                                                      | 降って湧いた修練
q20020003_00: A Commotion in the Cellar                                                | ざわめきの地下室
q20020004_00: Lise's Lost Property                                                     | リズの落し物
q20020005_00: A Gathering of Demons in the Old Temple                                  | 旧神殿に集う魔
q20020006_00: Urgent Directive! Eliminate the Demons to the North                      | 緊急指令！　北部魔物討伐
q20020007_00: A Situation on the Mountain Road                                         | 山道の危機管理
q20020008_00: The Gathering Menace                                                     | 集う脅威
q20020009_00: The Residents of Darkness                                                | 暗がりの住民達
q20020010_00: The Stolen Treasure                                                      | 奪われた逸品
q20020011_00: Reclaiming the Route                                                     | 連絡路を取り戻せ
q20025000_00: The Resident Demonic Lion                                                | 巣くいし魔獅子
q20025001_00: The One-Eyed Guardian                                                    | 単眼の番人
q20025002_00: Seeking Fiend Wing Membrane                                              | 悪魔の翼膜を求めて
q20025003_00: The Lurking Marauders                                                    | 潜みし略奪者
q20025004_00: The Silver Fiend (他クエで名称流用中)                                             | 銀色の悪鬼（他クエで名称流用中）
q20025005_00: A Huge Armored Creature Appears!                                         | 大鎧、現る！
q20025006_00: A Paired Encounter                                                       | 遭遇の双撃
q20025007_00: The King of Bones                                                        | 骨の王
q20025008_00: The Blue-Scaled Wicked Dragon                                            | 青鱗の凶竜
q20025009_00: A Whirling Hawk on a Dark Night                                          | 闇夜に舞う鷹
q20025010_00: Urgent Inspection: Betland Plains Treasure Expedition                    | 【緊急探索】財宝調査隊　バートランド平原
q20030000_00: A Nest of Labor and Love                                                 | 愛と苦労の巣作り
q20030001_00: The Curious Gourmand                                                     | 美食家の探究心
q20030002_00: Historical Mementos                                                      | 時を刻む遺物
q20030003_00: The Timeless Castle                                                      | 悠久の古城
q20030004_00: Undying Pride                                                            | 誇りは朽ちず
q20030005_00: A Petty Thief's Woes                                                     | コソ泥の受難
q20030006_00: The Incapable Courier                                                    | 運べぬ運び屋
q20030007_00: The Spectator                                                            | 高みの見物
q20030008_00: No Unexpected Guests                                                     | 珍客お断り
q20030009_00:                                                                          | 風鳴りと共に
q20035000_00:                                                                          | 古城の魔女
q20035001_00: The Sleeping Giant                                                       | まどろみの巨人
q20035002_00: The Footsteps in the Halls                                               | 石廊に響く足音
q20035003_00: The Glittering Horn                                                      | 輝く一本角
q20035004_00: The Wandering Knights                                                    | 彷徨える騎士団
q20035005_00: The Apes of Mayhem                                                       | 騒乱のエイプ達
q20035006_00: Misty Specters                                                           | 霧に紛れた影
q20035007_00: A Desire to Feed                                                         | 貪り喰らうもの
q20035008_00: The Echoing Roars in the Tunnel                                          | 坑道に響く咆哮
q20035009_00: After That Dragon!                                                       | あの竜を追え！
q20035010_00: Urgent Inspection: Dowe Valley Treasure Expedition                       | 【緊急探索】財宝調査隊　ダウ渓谷
q20040000_00: A Stylish Consideration                                                  | おしゃれの対価
q20040001_00: The Mysterious Living Treasure                                           | 生きたお宝の謎
q20040002_00: A Territorial Dispute                                                    | 縄張り守備隊長
q20040003_00: A Burden of Procurement                                                  | 仕入れの重責
q20040004_00: The Cause of the Hot Springs Blockage                                    | 湯詰まりの元
q20040005_00: The Tempting Lights                                                      | 誘う光
q20040006_00: A Grim Pilgrimage                                                        | 険しき堂参り
q20040007_00: A Miner's Lifeline                                                       | 採掘師の生命線
q20040008_00: Volden Poisonous Springs Investigation                                   | ボルド毒泉調査
q20040009_00: Wounded Honor                                                            | 傷ついた名誉
q20045000_00: The Bright One-Eyed                                                      | 大坑道に光る一つ目
q20045001_00: A Messenger from the Underworld                                          | 黄泉からの使者
q20045002_00: Shadows within the Cave                                                  | 岩窟の巨影
q20045003_00: The Tunnel Beast                                                         | 坑道の怪物
q20045004_00: Rock-Crushing Fangs                                                      | 岩砕きの大牙
q20045005_00: Trapped in a Nightmare                                                   | 覚めえぬ悪夢
q20045006_00: Seeking Riese Extract                                                    | レーゼ・エクストラクトを求めて
q20045007_00: Urgent Inspection: Volden Mines Treasure Expedition                      | 【緊急探索】財宝調査隊　ボルド鉱山
q20045008_00:                                                                          | 【怪盗乱魔】情念の追跡隊
q20050000_00: Approaching Hostility                                                    | 迫る敵意
q20050001_00: In the Darkness                                                          | 暗がりに消ゆ
q20050002_00: Crisis within a Cave                                                     | 洞穴に巣くう危機
q20050003_00: Defending Lynwood                                                        | リンウッド防衛戦
q20050004_00: Flowers Bathed in Light                                                  | 光浴びる花
q20050005_00: Echoing Footsteps in the Cave                                            | 鍾乳洞に響く足音
q20050006_00: The Witch of the Forest                                                  | 森の魔術師
q20050007_00: An Ancient Gathering                                                     | 古より集うもの
q20050008_00: A Gourmand's Forest Protection                                           | 美食家の森林保護
q20050009_00: The Bridges of Our Livelihood                                            | 橋は我らが命なり
q20055000_00: Scaled Soldiers                                                          | 鱗持つ戦士達
q20055001_00: A Strange Bird Dances in the Forest                                      | 森に舞う妖鳥
q20055002_00: The Mystery of Mysree Limestone Cave                                     | ミスリウ洞の怪
q20055003_00: Shadows in the Demon's Den                                               | 魔洞にひしめく影
q20055004_00: The Abductors' True Nature                                               | 人攫いの正体
q20055005_00: Fluttering Calls of Death                                                | 死を呼ぶはばたき
q20055006_00: Urgent Inspection: Mysree Grove Treasure Expedition                      | 【緊急探索】財宝調査隊　ミスリウ森林
q20055007_00:                                                                          | 【怪盗乱魔】粗暴なる思慕
q20055008_00:                                                                          | 【鬼哭蒐集】邂逅の亡者
q20055009_00: The Lullaby Echoing in the Ruins                                         | 古跡に響く子守歌
q20060000_00: The Remains of Green                                                     | 翠緑の遺構
q20060001_00: The Inias Monster                                                        | イニアスの怪物
q20060002_00: The Grieving Underling                                                   | 嘆きの下っぱ冒険者
q20060003_00: The Thugs of the Forest                                                  | 森の乱暴者
q20065000_00: A Faint Ill Omen                                                         | 幽かなる凶兆
q20065001_00: The Guardian of Green Leaves                                             | 蒼葉の守人
q20065002_00: The Unbidden Guest                                                       | 招かれざる居候
q20065003_00: The Silver Fiend                                                         | 銀色の悪鬼
q20065004_00: Seeking Elfin Extract                                                    | エルフィン・エクストラクトを求めて
q20065005_00: Urgent Inspection: Mysree Grove Treasure Expedition                      | 【緊急探索】財宝調査隊　ミスリウ森林深部
q20070000_00: Seeking Vengeance                                                        | 仇を求めて――
q20070001_00: A Dubious Remedy                                                         | 妖しき秘薬
q20070002_00: A Dangerous Wager                                                        | 危険な賭け
q20070003_00: To Steal from Orcs                                                       | 奪え！　オークの貯蓄品
q20070004_00: The Perfect Warrior                                                      | うってつけの強者
q20070005_00: The Temptation of Thievery                                               | 盗賊業の誘い
q20070006_00: From One Thing to Another                                                | 一難去ってまた一難
q20075000_00: The Roaring Lion King                                                    | 唸る獅子王
q20075001_00: The Occupied Channels                                                    | 奪われた水路
q20075002_00: The Raging Demonic Bird                                                  | 猛る魔鳥
q20075003_00: Eliminate the Orc Platoon!                                               | オーク小隊を駆逐せよ！
q20075004_00: The Deadly Frontier                                                      | 辺境の死線
q20075005_00: The Corpse-Eating White Demon                                            | 屍喰いの白鬼
q20075006_00: The Evil in the Dark Night                                               | 闇夜に佇む魔
q20075007_00: The Feast of Demons                                                      | 鬼人達の宴
q20075008_00: Seeking Demon Commander's Belt                                           | 戦鬼将のベルトを求めて
q20075009_00: Urgent Inspection: Northern Betland Plains Treasure Expedition           | 【緊急探索】財宝調査隊　バートランド平原北部
q20080000_00: The Lovely Vintage                                                       | 麗しの古酒
q20080001_00: The Bound Spirit                                                         | 囚われの亡霊
q20080002_00: The Sole Sign                                                            | 気配の数だけ
q20080003_00: The Perilous Labyrinth                                                   | 迷宮の難所
q20080004_00: An Irreplaceable Treasure                                                | 代えなき宝
q20080005_00: The Wings of Darkness                                                    | 闇色の翼
q20080006_00: The Uninvited Ones                                                       | 招かれざる者達
q20080007_00: The Evil Draws Near                                                      | 忍び寄る悪意
q20085000_00: The Lord of the Wastes                                                   | 荒れ地の主
q20085001_00: The Mighty Brutes                                                        | 屈強なる戦鬼達
q20085002_00: The Journey to Death                                                     | 死出の旅路へ――
q20085003_00: Eliminate the Orc Expedition!                                            | オーク遠征隊を殲滅せよ！
q20085004_00: The Obstructing Evil Statue                                              | 立ちはだかる魔像
q20085005_00: The Barren Black Wings                                                   | 不毛なる黒翼
q20085006_00: The Attacking Bite                                                       | 襲い来るアギト
q20085007_00:                                                                          | 空っぽの名誉
q20085008_00: The Dead Lord's Retainers                                                | 死王の眷族
q20085009_00: An Ancient Perseverance                                                  | いにしえよりの執念
q20085010_00: Urgent Inspection: Eastern Zandora Treasure Expedition                   | 【緊急探索】財宝調査隊　ザンドラ東部
q20090000_00: The Dead City's Chronicles                                               | 亡都の記録
q20090001_00: The One Called "Knight-Devourer"                                         | その名は“騎士喰らい”
q20090002_00:                                                                          | 禁じられし知識
q20090003_00:                                                                          | 帰りを祈って――
q20095000_00: The Fiery Titan                                                          | 炎紅の巨兵
q20095001_00: A Thirst for Knowledge                                                   | 智を欲せしもの
q20095002_00: The Dark Shadow Covering the Sky                                         | 空を覆う黒影
q20095003_00: The Sinister Beasts                                                      | 禍々しき獣
q20095004_00: The Forgotten Guardian                                                   | 忘れられた守番
q20095005_00:                                                                          | 地下水道の血戦
q20095006_00:                                                                          | 殺戮の魔道鉄騎
q20095007_00: The Accursed Wanderer                                                    | 呪われし徘徊者
q20095008_00: The Accursed Deserted Home                                               | 呪縛の廃屋
q20095009_00:                                                                          | よみがえる古戦士
q20095010_00: A Clash with the Orc Elite Corps                                         | オーク精鋭部隊との遭遇
q20095011_00:                                                                          | 虚ろなる剣戟
q20095012_00:                                                                          | 溶熱に燃える巨躯
q20095013_00:                                                                          | 禁域の処刑人
q20095014_00: Urgent Inspection: Zandora Wastelands Treasure Expedition                | 【緊急探索】財宝調査隊　ザンドラ禁域
q20100000_00: Expedition Preparations                                                  | 探索の下ごしらえ
q20100001_00: The Gourmand's Mushroom Hunt                                             | 美食家のキノコ狩り
q20100002_00: The Remains of Splendor                                                  | 壮麗なる残滓
q20100003_00: The Wicked Pursuer                                                       | 悪しき探求者
q20105000_00: The Snow-White Lion King                                                 | 純白の獅子王
q20105001_00: The Foolish Occupiers                                                    | 愚鈍なる占拠者
q20105002_00: A Surge of Hellfire                                                      | ほとばしる業火
q20105003_00: When the Black Fowl Crows                                                | 黒雄鶏の啼く頃に
q20105004_00: The Keeper of the Woods                                                  | 深き森の番人
q20105005_00: The Greenery Falls, Dancing                                              | 緑に舞い散るは――
q20105006_00: The Old Witch of the Woods                                               | 森の老魔女
q20105007_00: A Sudden Urge to Kill                                                    | 不意に迫る殺意
q20105008_00: Urgent Inspection: Deenan Woods Treasure Expedition                      | 【緊急探索】財宝調査隊　ディナン深層林
q20990000_00:                                                                          | おそるべき被造物
q20990001_00: Separation and Completion                                                | 乖離と補完
q20990002_00: A Deathly Wisdom                                                         | 眠りし叡智
q20990003_00: Inherited Experience                                                     | 受け継がれる想い
q20990004_00: The Lost Golden Child                                                    | 金色の落とし仔
q20995000_00: Seeking Alchemical Extract                                               | アルケム・エクストラクトを求めて
q20995001_00:                                                                          | 翼ある番兵
q20995002_00: The Blue Dragon's Shadow                                                 | 蒼き竜影
q20995003_00:                                                                          | 炎と岩よりい出し者
q20995004_00: The Abandoned Giant Warrior                                              | うち捨てられた巨人兵
q20995005_00: An Altered Beast Attacks!                                                | 改造魔獣、襲撃！
q20995006_00: A Training Requirement                                                   | 錬成術の要
q20995007_00: Mergoda's Resource Issue                                                 | メルゴダ資源事情
q20995008_00:                                                                          | 狂える竜脈
q20995009_00: The Experiment Strikes Back                                              | 実験動物の逆襲
q20995010_00: The Misguided Soldiers                                                   | 妄執の幽戦士
q20995011_00: The Shadow That Roams the Dead City                                      | 亡都を歩む影
q20995012_00: Urgent Inspection: Mergoda Ruins Treasure Expedition                     | 【緊急探索】財宝調査隊　亡都メルゴダ
q21000000_00: High Difficulty: Lurking in the Shadows                                  | 【高難度】冥闇に潜む影
q21000001_00: Dancing Phantoms down Below                                              | 地下に舞いし幻影
q21000002_00: Hometown Concerns                                                        | 郷想う気持ち
q21000003_00: A Monstrous Rampage                                                      | 猛り狂う異形
q21000004_00:                                                                          | 魔女の噂
q21000005_00: High Difficulty: Forest Patrol                                           | 【高難度】森のパトロール
q21000006_00: A Thief's Whereabouts                                                    | 盗人は何処に
q21000007_00: Expected Results                                                         | 期待された成果
q21000008_00: The Tyrant of the Cave                                                   | 洞窟の暴君
q21000009_00: The Wandering Light                                                      | 漂う妖光
q21000010_00: A Shopkeeper's Distress                                                  | 店主の苦悩
q21000011_00: High Difficulty: The Source of Commotion                                 | 【高難度】喧騒の元
q21000012_00: Light in the Village                                                     | 村に光を
q21000013_00: The Forgotten Evil Image                                                 | 忘れられた魔像
q21000014_00: The Lighthouse Keeper's Favor                                            | 灯台守の恩返し
q21000015_00: High Difficulty: A Silence-Breaking Roar                                 | 【高難度】静寂を裂く呻き声
q21000016_00:                                                                          | 大人への憧憬
q21000017_00: Punish Grave-Robbing                                                     | 墓荒しを罰せよ
q21000018_00: Heavily Occupied                                                         | 多忙は願い下げ
q21000019_00: High Difficulty: Demon Eradication                                       | 【高難度】魔物の大掃除
q21000020_00: A Lakeside Danger                                                        | 湖畔を掠める危機
q21000021_00: The Lonesome Hunter                                                      | 孤独のハンター
q21000022_00:                                                                          | 騎士の誇りに懸けて
q21000023_00: A Path Hardened by Cold Winds                                            | 冷風すさびし路
q21000024_00: High Difficulty: The Demon's Nest                                        | 【高難度】魔巣の洞窟
q21000025_00: Door of Treasures: Bloodlust                                             | 【財宝の扉】湿った殺気
q21000026_00: Door of Jewelry: Emerged Colossus                                        | 【宝飾の扉】現れた巨像
q21000027_00: Door of Dragon Force: Call of Vengeful Spirits                           | 【竜力の扉】誘いし怨霊
q21000028_00: Door of Jewelry: The Source of the Nightmare                             | 【宝飾の扉】悪夢の根源
q21000029_00:                                                                          | 棄てられた獲物
q21000030_00: Prized Knowledge                                                         | とっておきの情報
q21000031_00: High Difficulty: To Rest, Once More                                      | 【高難度】安息をもう一度
q21000032_00:                                                                          | 悠久にて佇む
q21000033_00: A Gush of Wickedness                                                     | 湧き出た邪念
q21000034_00: Deal with the Goblins                                                    | 小鬼との取引
q21000035_00: High Difficulty: An Uncertain Pride                                      | 【高難度】天秤に架けた誇り
q21000036_00: No Regrets                                                               | 悔恨晴らすまで
